cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,practice_target.started,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.024118832996464334,0.04124449999653734,0.04124449999653734,0.04124449999653734,0.628593749992433,space,0.5525170839973725,None,,,,,,,,,,,,,,,,,,,,,,,,,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.629107374988962,0.6494474169885507,0.6494474169885507,1.3493273749918444,right,0.691957832998014,None,,,,,,,,,,,,,,,,,,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.75,Invalid,0,0,0,left,0,1.4303517079970334,None,0,0,0,8,1.4139848329941742,,,,,,,,,,,,,,,,,1.355393332996755,1.4139848329941742,1.4139848329941742,1.4139848329941742,1.4139848329941742,2.0891169999958947,2.1263167079887353,2.853327291988535,left,0,1.4303517079970334,None,2.8535810419998597,2.857457707999856,3.8508612919977168,3.8444755419914145,,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,1,1,0,right,0,1.1300845840014517,None,0,1,1,7,3.8508612919977168,,,,,,,,,,,,,,,,,3.845203082993976,3.8508612919977168,3.8508612919977168,3.8508612919977168,3.8508612919977168,4.593736124996212,4.638991041996633,4.985957457989571,right,0,1.1300845840014517,None,4.986464417001116,4.9924771249934565,5.981870541989338,5.976220541997463,,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.35,Invalid,2,2,0,left,0,1.1210367500025313,None,0,2,2,14,5.981870541989338,,,,,,,,,,,,,,,,,5.977038457989693,5.981870541989338,5.981870541989338,5.981870541989338,5.981870541989338,6.727018582998426,6.7691914579918375,7.110732542001642,left,0,1.1210367500025313,None,7.11109987499367,7.116454207993229,8.116342458000872,8.103496416995768,,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.35,Invalid,3,3,0,left,0,1.1758775829948718,None,0,3,3,5,8.116342458000872,,,,,,,,,,,,,,,,,8.104233124991879,8.116342458000872,8.116342458000872,8.116342458000872,8.116342458000872,8.854736583001795,8.905660958000226,9.302733082993655,left,0,1.1758775829948718,None,9.30328870798985,9.314371999993455,,10.30353712500073,9.25376683298964,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.95,Invalid,4,4,0,right,1,2.04002687499451,None,0,4,4,10,10.316709374994389,,,,,,,,,,,,,,,,,10.30433866698877,10.316709374994389,10.316709374994389,10.316709374994389,10.316709374994389,11.046726832995773,11.089004207999096,12.366336541992496,right,1,2.04002687499451,None,12.366779707997921,12.372370749988477,,13.367630957989604,12.049369542000932,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[5.334, 0]","[5.334, 0]",right,0.55,Valid,5,5,0,right,1,1.7688064169924473,None,0,5,5,6,13.376171500000055,,,,,,,,,,,,,,,,,13.368342957997811,13.376171500000055,13.376171500000055,13.376171500000055,13.376171500000055,14.114578082997468,14.1552678750013,15.147060457995394,right,1,1.7688064169924473,None,15.147413624988985,15.152925000002142,16.14705962500011,16.139131457995973,14.70707695800229,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.15,Invalid,6,6,0,right,1,2.8378557920077583,None,0,6,6,12,16.14705962500011,,,,,,,,,,,,,,,,,16.140071874993737,16.14705962500011,16.14705962500011,16.14705962500011,16.14705962500011,16.885744041996077,16.934038541992777,18.9904086250026,right,1,2.8378557920077583,None,18.990794332989026,18.99750545799907,20.001009499988868,19.989099999991595,18.089704457990592,230017,001,2025-10-06_10h19.05.824,IOR3,2024.2.4,2025-10-06 10h19.10.349850 -0400,
"[5.334, 0]","[5.334, 0]",right,0.05,Valid,7,7,0,,,,,0,7,7,0,20.001009499988868,,,,,,,,,,,,,,,,,19.990478624997195,20.001009499988868,20.001009499988868,20.001009499988868,20.001009499988868,20.72972866699274,20.773257875000127,,,,,,,,,,20.841078207988176,,,,,,,
