cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,practice_error_feedback.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.02332624999962718,0.04342812499999127,0.04342812499999127,0.04342812499999127,1.5314020839996374,space,1.4501772919993527,None,,,,,,,,,,,,,,,,,,,,,,,,,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5316717499999868,1.5369240840000202,1.5369240840000202,2.09850383399953,right,0.558834041999944,None,,,,,,,,,,,,,,,,,,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.95,Invalid,0,0,0,right,1,1.9702243330002602,None,0,0,0,10,2.161358083999403,,,,,,,,,,,,,,,,,2.1093821669992394,2.161358083999403,2.161358083999403,2.161358083999403,2.161358083999403,2.8427156249999825,2.8814065419992403,3.843280166999648,4.133006624999325,right,1,1.9702243330002602,None,4.133404958999563,4.145968416999494,5.137146999999459,,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.35,Invalid,1,1,0,right,1,2.4199099589995967,None,0,1,1,14,5.145628833999581,,,,,,,,,,,,,,,,,5.138647666999532,5.145628833999581,5.145628833999581,5.145628833999581,5.145628833999581,5.88204074999976,5.928637541999706,7.2729331249993265,7.577381708999383,right,1,2.4199099589995967,None,7.577818333999858,7.583533874999375,8.578340999999455,,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,2,2,0,left,1,1.6573772499996267,None,0,2,2,7,8.585020916999383,,,,,,,,,,,,,,,,,8.57924204199935,8.585020916999383,8.585020916999383,8.585020916999383,8.585020916999383,9.32692062499973,9.365792374999728,9.92678533399976,10.245656999999483,left,1,1.6573772499996267,None,10.246070708999468,10.252293499999723,11.244325291999303,11.250662333999571,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.05,Invalid,3,3,0,left,1,1.4860415000002831,None,0,3,3,1,11.250662333999571,,,,,,,,,,,,,,,,,11.245238292000067,11.250662333999571,11.250662333999571,11.250662333999571,11.250662333999571,11.994585542000095,12.03411583399975,12.0892522919994,12.746701209000094,left,1,1.4860415000002831,None,12.747127499999806,12.753388666999854,13.745429124999646,13.751920416999383,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[5.334, 0]","[5.334, 0]",right,0.55,Valid,4,4,0,right,1,1.73374212500039,None,0,4,4,6,13.751920416999383,,,,,,,,,,,,,,,,,13.74629987499975,13.751920416999383,13.751920416999383,13.751920416999383,13.751920416999383,14.489535875000001,14.535720500000025,15.093638999999712,15.490807416999814,right,1,1.73374212500039,None,15.491229583999484,15.497807124999781,16.486757708999903,16.49308979199941,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.75,Invalid,5,5,0,right,1,1.8002432909997879,None,0,5,5,8,16.49308979199941,,,,,,,,,,,,,,,,,16.48762012499992,16.49308979199941,16.49308979199941,16.49308979199941,16.49308979199941,17.23725391700009,17.281373750000057,18.031258624999282,18.306096833999618,right,1,1.8002432909997879,None,18.30658820899953,18.313302292000117,19.300580249999257,19.30682941699979,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[5.334, 0]","[5.334, 0]",right,0.15,Valid,6,6,0,right,1,1.3457667080001556,None,0,6,6,2,19.30682941699979,,,,,,,,,,,,,,,,,19.30122741699961,19.30682941699979,19.30682941699979,19.30682941699979,19.30682941699979,20.048874209000132,20.095584333999795,20.25422024999989,20.663620124999397,right,1,1.3457667080001556,None,20.664080791999368,20.669879458999276,21.655311041999994,21.661336124999252,717400,001,2025-07-23_11h03.24.711,IOR3,2024.2.4,2025-07-23 11h03.33.162435 -0400,
"[5.334, 0]","[5.334, 0]",right,0.95,Valid,7,7,0,,,,,0,7,7,11,21.661336124999252,,,,,,,,,,,,,,,,,21.65598083399982,21.661336124999252,21.661336124999252,21.661336124999252,21.661336124999252,22.406405291999363,22.452806667000004,23.40652337499978,,,,,,,,,,,,,,,,
