cueSide,targetSide,correct,ISI,Validity
"[5.334,0]","[5.334,0]",right,0.05,Valid
"[5.334,0]","[-5.334,0]",left,0.05,Invalid
"[5.334,0]","[5.334,0]",right,0.15,Valid
"[5.334,0]","[-5.334,0]",left,0.15,Invalid
"[-5.334,0]","[-5.334,0]",left,0.35,Valid
"[-5.334,0]","[5.334,0]",right,0.35,Invalid
"[5.334,0]","[5.334,0]",right,0.55,Valid
"[5.334,0]","[-5.334,0]",left,0.55,Invalid
"[-5.334,0]","[5.334,0]",right,0.75,Invalid
"[-5.334,0]","[-5.334,0]",left,0.75,Valid
"[-5.334,0]","[5.334,0]",right,0.95,Invalid
"[5.334,0]","[5.334,0]",right,0.95,Valid
"[-5.334,0]","[5.334,0]",right,1.15,Invalid
"[5.334,0]","[5.334,0]",right,1.15,Valid
"[-5.334,0]","[5.334,0]",right,1.35,Invalid
